x.calibrated,x.label,x.units,x.coord,y.calibrated,y.label,y.units,y.coord,group
1989.026,x,NA,465,39.21114,y,NA,272,orangeGrp
1988.701,x,NA,463,46.86775,y,NA,239,orangeGrp
1990,x,NA,471,46.40371,y,NA,241,orangeGrp
1990,x,NA,471,41.53132,y,NA,262,orangeGrp
1990.812,x,NA,476,30.16241,y,NA,311,orangeGrp
1992.11,x,NA,484,33.64269,y,NA,296,orangeGrp
1992.11,x,NA,484,35.73086,y,NA,287,orangeGrp
1991.786,x,NA,482,38.05104,y,NA,277,orangeGrp
1991.948,x,NA,483,39.21114,y,NA,272,orangeGrp
1992.11,x,NA,484,43.38747,y,NA,254,orangeGrp
1991.948,x,NA,483,47.56381,y,NA,236,orangeGrp
1993.896,x,NA,495,45.93968,y,NA,243,orangeGrp
1994.058,x,NA,496,37.12297,y,NA,281,orangeGrp
1993.734,x,NA,494,34.80278,y,NA,291,orangeGrp
1995.032,x,NA,502,28.07425,y,NA,320,orangeGrp
1995.032,x,NA,502,32.4826,y,NA,301,orangeGrp
1995.032,x,NA,502,40.13921,y,NA,268,orangeGrp
1995.032,x,NA,502,41.99536,y,NA,260,orangeGrp
1995.032,x,NA,502,43.15545,y,NA,255,orangeGrp
1995.032,x,NA,502,47.79582,y,NA,235,orangeGrp
1996.494,x,NA,511,47.79582,y,NA,235,orangeGrp
1996.331,x,NA,510,31.32251,y,NA,306,orangeGrp
1996.006,x,NA,508,37.58701,y,NA,279,orangeGrp
1996.006,x,NA,508,40.37123,y,NA,267,orangeGrp
1996.169,x,NA,509,43.85151,y,NA,252,orangeGrp
1997.143,x,NA,515,33.64269,y,NA,296,orangeGrp
1996.981,x,NA,514,36.1949,y,NA,285,orangeGrp
1996.981,x,NA,514,40.83527,y,NA,265,orangeGrp
1997.955,x,NA,520,46.40371,y,NA,241,orangeGrp
1997.792,x,NA,519,39.21114,y,NA,272,orangeGrp
1999.091,x,NA,527,35.49884,y,NA,288,orangeGrp
1998.929,x,NA,526,38.05104,y,NA,277,orangeGrp
1998.766,x,NA,525,42.22738,y,NA,259,orangeGrp
1998.766,x,NA,525,44.31555,y,NA,250,orangeGrp
1998.117,x,NA,521,49.65197,y,NA,227,orangeGrp
2001.039,x,NA,539,48.95592,y,NA,230,orangeGrp
2001.039,x,NA,539,46.63573,y,NA,240,orangeGrp
2001.039,x,NA,539,41.76334,y,NA,261,orangeGrp
2000.714,x,NA,537,44.08353,y,NA,251,orangeGrp
1999.74,x,NA,531,50.11601,y,NA,225,orangeGrp
2002.013,x,NA,545,35.0348,y,NA,290,orangeGrp
2001.851,x,NA,544,37.58701,y,NA,279,orangeGrp
2002.013,x,NA,545,39.90719,y,NA,269,orangeGrp
2001.039,x,NA,539,35.73086,y,NA,287,orangeGrp
2000.877,x,NA,538,37.35499,y,NA,280,orangeGrp
2003.149,x,NA,552,36.89095,y,NA,282,orangeGrp
2004.123,x,NA,558,36.42691,y,NA,284,orangeGrp
2003.799,x,NA,556,39.90719,y,NA,269,orangeGrp
2003.799,x,NA,556,41.76334,y,NA,261,orangeGrp
2003.799,x,NA,556,44.54756,y,NA,249,orangeGrp
2003.636,x,NA,555,47.79582,y,NA,235,orangeGrp
2002.662,x,NA,549,44.54756,y,NA,249,orangeGrp
2002.662,x,NA,549,48.49188,y,NA,232,orangeGrp
2005.909,x,NA,569,36.1949,y,NA,285,orangeGrp
2005.909,x,NA,569,38.97912,y,NA,273,orangeGrp
2005.584,x,NA,567,44.54756,y,NA,249,orangeGrp
2005.747,x,NA,568,47.09977,y,NA,238,orangeGrp
2005.747,x,NA,568,48.95592,y,NA,230,orangeGrp
2007.045,x,NA,576,24.36195,y,NA,336,orangeGrp
2006.883,x,NA,575,37.81903,y,NA,278,orangeGrp
2007.045,x,NA,576,43.85151,y,NA,252,orangeGrp
