Biomass,Yield
6710.600000000001,2420.8
4405.381818181818,1563.2
5090.8,1780
4752.6,1922.4
3665.6864864864865,1316.8
3960.685057471265,1545.2
5346.206896551724,2067.2
5726.022047244095,2258.4
9503.093023255815,3819
7380.148148148148,2874
7710.48813559322,3144.6
8811,3684.6
7735.351648351648,3236.4
4247.945794392524,1901.8
4143.455855855856,2008.4
5194.704132231404,2152.6
2836.703759398496,1274.6
3506.6,1513
4790.667889908257,1941.2
2723.3731343283584,1177.2
3100.5369863013693,1300.8
4899.508196721311,2173.6
4406.78556701031,1730.6
3123.3333333333335,1499.2
4230.6303030303025,1759.8
2927.9130434782614,1224.4
4890.236220472441,2258.4
4032.119587628866,1730.6
8534.654867256637,4018.4
7797.164179104477,3570
7178.032183908046,3099.2
9475.832635983263,4257
5954.464968152866,2790.6
1794.1176470588234,610
3232.3529411764703,1099
3562.5,1140
4120.689655172414,1195
5131.034482758621,1488
5366.666666666666,1449
1515.625,485
1926.6666666666667,578
2773.076923076923,721
3308,827
3870,774
2361.1111111111113,425
549.2063492063492,346
872.5,349
1043.75,501
1855.5555555555554,835
1429.7297297297298,529
1336.111111111111,481
1275.4385964912283,727
1432.2033898305085,845
2046.4285714285713,1146
2224.528301886792,1179
2960.78431372549,1510
2882,1441
3961.2903225806454,1228
4379.411764705882,1489
4505.714285714286,1577
4873.684210526316,1852
3959.375,1267
3641.935483870968,1129
2378.3783783783783,880
2781.0810810810813,1029
3311.7647058823527,1126
3533.333333333333,1166
3723.5294117647054,1266
3603.125,1153
7161.966845918203,1041.09
9612.38362626701,1828.954
13097.125062799036,2549.599
12124.43014838901,2597.059
7673.803363805001,1907.475
8975.332146353025,2400.519
7873.057584951257,2146.338
7174.8737648701945,1976.804
9010.719628461231,2530.402
8704.877953462616,2628.37
5735.388921029274,1751.765
4381.338834195995,1355.294
7747.487655197437,2455.45
4900.830766790065,1569.296
8870.431405312007,2896.446
5204.309975895825,1700.068
2598.096332656976,853.1543
6852.795115437071,2310.265
9166.45891445156,3117.96
2227.812685705413,771.899
2671.1536937205565,933.4595
4401.272707767946,1542.632
9310.372526103716,3268.599
7732.9410753731745,2753.64
8335.066290516865,2974.02
6651.0794844944885,2428.218
7726.265286573804,2865.841
3185.8713485038693,1192.5
6806.787350243169,2581.291
5581.359202430392,2118.646
5096.894660437507,1956.337
5880.361501425138,2268.981
7729.842562002495,2988.773
3675.752604065339,1426.471
8095.265937899654,3156.719
6158.454720410646,2408.64
7297.650163851288,2860.692
8870.19333726832,3500
9179.113948691967,3630.782
8470.568462129482,3351.499
7558.8959112525135,3061.052
4825.938034807037,1982.394
6716.465301091195,2764.706
6192.0544048543625,2576.029
5422.978565185341,2257.785
9411.126416155994,3927.184
7531.3855486879465,3180.416
6327.596220327264,2745.544
5111.15162230118,2228.94
7684.689246452024,3364.619
4346.495984925669,1904.412
6899.677959697023,3058.403
7938.124813937091,3581.081
8642.515891202636,3933.298
4809.679225293862,2195.039
8268.692244449454,3774.51
9042.414597119281,4165.882
6010.808639135309,2782.782
3113.659769038742,1444.603
5572.546547423276,2588.235
4768.781422254528,2267.361
